id,date,source,title,sector,sentiment,summary,year_month,year
10,2025-10-01,katadata.co.id,KPK Tetapkan Eks Dirut PGN Hendi Prio Santoso Tersangka Kasus Jual Beli Gas,government,negative,"KPK tetap menahan Direktur Utama Usaha Gas Negara, Hendi Prio Santoso, yang duga berkaitan dengan kasus jual-beli gas berantas korupsi. KPK juga menahan Komisaris Inti Alasindo Energy, Iswan Ibrahim, sebagai saksi dalam kasus ini. Implementasi AI dalam konteks ini tidak terdapat dalam ringkasan tersebut, yang lebih fokus pada proses penahanan dan saksi dalam kasus korupsi jual-beli gas.",2025-10,2025
11,2025-10-01,katadata.co.id,"BP-Shell Blak-blakan Ungkap Penyebab BBM Langka di SPBU Swasta, Impor Dibatasi",other,neutral,"Implementasi AI dalam konteks artikel tersebut tidak direncanakan secara langsung. Artikel fokus pada masalah kemacetan bensin (BBM) di Indonesia akibat batas import BBM yang ditetapkan untuk perusahaan swasta. Pemerintah, melalui ESDM (Badan Standardisasi Nasional), mempertimbangkan permintaan tambahan kuota import BBM dari perusahaan swasta, sementara Shell Indonesia menghadapi potensi kemacetan BBM akibat stok yang terbatas sejak Agustus. Implementasi AI di sini tidak tercantum, namun dapat digunakan untuk optimasi pengelolaan stok, prediksi kebutuhan, dan pengembangan solusi logistik untuk mengatasi masalah ini.

Analisis Sentimen:

Dari ringkasan di atas, sentimen terhadap situasi saat ini dapat dikategorikan sebagai negatif. Peristiwa kemacetan BBM dan potensi kemacetan BBM berlangsung, serta permintaan tambahan kuota import yang belum disetujui, menunjukkan kekesalan dan kekhawatiran dari para pelaku industri dan konsumen. Namun, jika melihat langkah-langkah yang dilakukan oleh Shell Indonesia untuk mencari solusi dan mendorong permintaan tambahan kuota import, sentimen mungkin dapat dianggap sebagai berusaha positif untuk mengatasi masalah. Namun, pada dasarnya, situasi saat ini dapat dianggap negatif karena kesulitan yang dihadapi dalam penyediaan BBM.",2025-10,2025
12,2025-10-01,katadata.co.id,"Israel Kembali Gempur Gaza di Tengah Rencana Perdamaian, Puluhan Warga Tewas",other,negative,"Implementasi AI tidak terdapat dalam artikel tersebut, yang lebih fokus pada konflik antara Israel dan Gaza, dengan laporan tentang serangan udara Israel terhadap Gaza, hasilnya adalah banyak korban dan kerusakan infrastruktur.",2025-10,2025
13,2025-10-01,katadata.co.id,BGN Tetap Akan Gunakan Makanan Ultra-Proses atau UPF di Dalam Menu MBG,kesehatan,negative,"Implementasi AI dalam artikel tersebut tidak terdapat secara langsung. Artikel fokus pada diskusi tentang ultra processed foods (UPF) yang masih diperbolehkan dalam program makan gratis bagi anak-anak (MBG), dengan kritik tingkat gula tinggi dalam produk UPF dan pertanyaan terhadap komitmen terhadap kesehatan.",2025-10,2025
14,2025-10-01,katadata.co.id,"Pemerintah akan Salurkan Bantuan Beras Fortifikasi di Akhir 2025, Apakah Itu?",pangan,positive,"Implementasi AI tidak terdapat dalam artikel tersebut, yang lebih fokus pada perintah salur bantuan beras fortifikasi nasional, strategi untuk mencegah stunting, dan inisiatif biofortifikasi untuk meningkatkan nilai gizi beras.",2025-10,2025
15,2025-10-01,katadata.co.id,Prabowo Dikabarkan Reshuffle Lagi dan Lantik Pejabat Baru Hari Ini,government,neutral,"Presiden Prabowo Subianto dilaporkan melakukan reshuffle kabinet, mengganti beberapa jabat baru, termasuk Kepala Badan Riset Inovasi Nasional (BRIN) dengan Arif Satria, Rektor IPB Universitas, dan anggota Komite Reformasi POLRI. Ini merupakan langkah dalam pengembangan kabinet dan mungkin memperkuat implementasi AI dalam sektor riset inovasi nasional dan pendidikan tinggi.",2025-10,2025
16,2025-09-25,tekno.kompas.com,"Riset Harvard Ungkap Dampak Negatif AI, Pekerja Terjebak ""Workslop""",fintech,negative,"Riset Harvard ungkap dampak negatif kerja ""jebak workslop"" akibat teknologi AI generatif seperti ChatGPT, yang meningkatkan produktivitas tetapi juga menciptakan ""kerja slop"" atau konten dangkal berlebihan, menghabiskan waktu karyawan tanpa meningkatkan nilai situasi.",2025-09,2025
17,2025-09-28,www.kompas.com,"Ternyata AI Juga Bisa Berhalusinasi, Seperti Apa Bentuknya?",fintech,neutral,"Implementasi AI dalam artikel tersebut terkait dengan model bahasa besar (LLM) yang digunakan untuk generasi tekst seperti chatbot. Hal ini menunjukkan penggunaan AI dalam bidang komunikasi dan peristiwa peristiwa yang terkait dengan persepsi manusia, seperti ciuman, dengar, sentuhan, dan rasa.

Analisis Sentimen:

Analisis sentimen terhadap teknologi AI dalam artikel ini lebih tertuju pada kontroversi dan kesulitan. Artikel menyebut ""halusinasi"" dan ""persepsi"" sebagai tantangan, serta menyatakan bahwa hasil dari model bahasa besar (LLM) seringkali tidak akurat sebagaimana persepsi manusia. Namun, artikel juga mencakup kemajuan AI dalam bidang komputer vision dan peristiwa peristiwa, menunjukkan potensi positif dari teknologi AI. Dalam hal ini, sentimen dapat dikatakan netral hingga negatif karena fokus pada kesulitan dan perbedaan antara persepsi manusia dan hasil AI.",2025-09,2025
18,2025-09-26,tekno.kompas.com,Kenapa Foto Gemini AI Tidak Cocok dengan yang Kita Inginkan? Ini Penyebabnya,ecommerce,neutral,"Implementasi AI dalam sektor industri ini terkait dengan teknologi fotografi, khususnya untuk menciptakan gambar-gambar ""Gemini"" yang populer di media sosial. AI digunakan untuk menciptakan kreativitas seperti gaya profesional studio, termasuk foto keluarga dengan nuansa hangat, atau pose seperti idola favorit. Penggunaan AI memungkinkan hasil foto unik dan estetik tanpa perlu datang ke studio, dengan promptnya yang jelas dan detail yang tepat menjadi faktor kunci.

Analisis Sentimen:

Analisis sentimen terhadap teknologi AI dalam konteks ini lebih positif, karena AI dianggap membantu pengguna menciptakan hasil foto yang indah dan unik dengan mudah. Tetapi, ada juga pernyataan negatif karena kesulitan dalam mendapatkan hasil sesuai ekspektasi, terutama ketika promptnya kurang jelas atau terlalu kompleks. Pentingnya untuk meningkatkan penggunaan AI di sektor ini adalah dengan meningkatkan kualitas promptnya dan memberikan petunjuk yang jelas agar pengguna dapat mencapai hasil yang diinginkan.",2025-09,2025
19,2025-09-24,www.kompas.com,[HOAKS] Polisi Brasil Menyembunyikan Mayat Istrinya Selama 15 Tahun,other,neutral,"Ringkasan: Artikel ini tidak langsung berfokus pada implementasi AI, tetapi menyampaikan hoaks politik Brasil yang melibatkan kisah polisi yang diberitakan menyembunyikan mayat istri lama tahun di dinding rumah renovasi. Teks tersebut menjelaskan proses verifikasi kompas.com terhadap hoaks, yang menunjukkan proses pemeriksaan fakta secara manual tanpa implementasi AI yang terlihat.",2025-09,2025
20,2025-09-23,tekno.kompas.com,"Bos ChatGPT Akui AI Bisa Picu PHK, Ini Pekerjaan yang Rentan Diganti AI",fintech,negative,"Implementasi AI dalam sektor-sektor industri terutama dalam customer service dan programmer/developer, menunjukkan potensi untuk otomatisasi pekerjaan. CEO OpenAI, Sam Altman, mengatakan bahwa beberapa jenis kerja, seperti layanan pelanggan dan wawancara, rentan tergantung pada teknologi AI. Meskipun ada khawatir tentang dampak terhadap pekerjaan, Altman yakin bahwa AI akan lebih membantu dalam kinerja dan kinerja kerja, bukan menghapus pekerjaan.",2025-09,2025
21,2025-09-23,www.kompas.com,"Ilusi AI: Antara Realitas, Rekayasa, dan Disinformasi",other,negative,"Implementasi AI dalam artikel tersebut terlihat di bidang disinformasi, dengan teknologi AI digunakan untuk membuat ilusi realitas yang sangat realistis, seperti gambar teks yang tepat dan presisi tinggi, oleh perangkat generatif. Ini menunjukkan penggunaan AI dalam peran yang bertanggung jawab dan tidak seimbang, seperti dalam produksi dan penyebaran informasi palsu secara cepat dan luas.",2025-09,2025
22,2025-09-23,tekno.kompas.com,"20 Contoh Kata-kata Gemini AI Foto Studio Bareng Keluarga, Tinggal “Copas”",other,positive,"Implementasi AI dalam artikel tersebut terlihat melalui perangkat ""Gemini Flash Image Nano Banana"", yang menawarkan fitur untuk menerangi dan mengubah foto-foto lama menjadi gambar baru dengan detail wajah yang lebih realistis. Alat ini membantu pengguna menciptakan potret unik dan profesional seperti hasil dari studio foto, dengan fitur yang memungkinkan pengubahan detail wajah menjadi ekspresi identitas yang sama, sehingga tampilan lebih estetik dan layak untuk digunakan dalam acara-acara formal atau santai. Selain itu, alat ini juga menawarkan pilihan prompt yang tepat untuk mengatur suasana, pose, cahaya, dan latar belakang, sesuai dengan keinginan pengguna, seperti pose studio latar putih polos dengan nuansa hangat dalam ruang tamu modern.",2025-09,2025
23,2025-09-23,tekno.kompas.com,AI Ditunjuk Jadi Ketum Parpol di Jepang,other,neutral,"Sebuah partai politik baru di Jepang, ""The Path Rebirth"", menggunakan AI sebagai kompas untuk langkah-langkah biasa, dengan ketua umum Shinji Ishimaru mundur setelah gagal dalam pemilihan umum. Partai ini, dikendalikan sebelumnya oleh Ishimaru, mencari ketua baru, Okumura, sementara Ishimaru mengembangkan rencana manifestasi yang unik, terinspirasi oleh avatar penguin.",2025-09,2025
24,2025-09-20,www.kompas.com,"Tren Edit Foto dengan AI, Pakar Siber Ingatkan Risikonya: Termasuk Kemungkinan Masuk Dark Web",fintech,negative,"Implementasi AI dalam artikel tersebut terkait dengan trend edit foto yang populer di Indonesia, dimana pengguna menggunakan aplikasi untuk merubah foto-foto pribadi dengan mudah menggunakan prompt foto. Trend ini memiliki risiko potensial, karena foto pribadi dapat disalurkan ke web gelap dan digunakan untuk aktivitas data ilegal seperti pencuri data biometrik.

Analisis Sentimen:

Analisis sentimen terhadap teknologi AI dalam konteks artikel ini bersifat negatif. Artikel menceritakan risiko dan bahaya yang mungkin terjadi akibat penggunaan aplikasi edit foto, terutama ketika data pribadi seperti foto wajah dapat disalurkan dan digunakan secara tidak etis untuk tujuan ilegal. Penulis artikel menyadari potensi bahaya dan menteri Albania, Diella, berkomentar khawatir tentang proses olah data yang tidak transparan dalam aplikasi tersebut. Oleh karena itu, sentimen dalam artikel ini lebih rangkum kepada peringatan dan kekhawatiran terhadap implementasi AI dalam konteks edit foto dan perlu dipertimbangkan dengan hati-hati.",2025-09,2025
25,2025-09-20,tekno.kompas.com,Prompt Gemini AI Foto Prewedding Jawa ala Studio Profesional,other,positive,"Implementasi AI dalam artikel tersebut terlihat di dalam layar dialog prompt Gemini, yang digunakan untuk transformasi foto sederhana menjadi potret prewedding elegan dengan nuansa adat Jawa modern. Gemini, seperti dijelaskan, membantu menghasilkan gambar fotorealistik vertikal full-body dengan komposisi yang detail dan tema yang relevasi dengan budaya Jawa, seperti kebaya, keris, dan motif batik. Ini menunjukkan penggunaan AI untuk menciptakan seni fotografi yang profesional dan personalisasi dengan tema kultural.",2025-09,2025
26,2025-09-18,bandung.kompas.com,"Bapak Muda di Garut Ubah Anak-anak dari Kecanduan ""Game"" Jadi Cinta ""Coding""",edutech,positive,"Bapak muda Garut, Yusef Maulana, berhasil mengubah candu anak-anak terhadap permainan game menjadi minat dalam coding, menggunakan metode yang unik dan efektif. Dia mengajarkan keterampilan coding kepada anak-anak sejak usia sekolah dasar, dengan menggunakan buku tulis dan seri buku khusus untuk pembelajaran coding. Yusef juga berkolaborasi dengan developer untuk membuat konten yang relevan dan menarik untuk anak-anak, dengan fokus pada logika dan kreativitas melalui coding. Paradigma ini berhasil membuat anak-anak lebih kritis dan menjadi konten kreator, menunjukkan potensi AI dalam pendidikan.",2025-09,2025
27,2025-09-18,tekno.kompas.com,"Viral Gemini AI Bikin Foto Ala Studio Gaya Casual dan Stylish, Begini Promptnya",ecommerce,positive,"Implementasi AI dalam artikel tersebut terlihat melalui aplikasi ""Gemini"" yang mampu menciptakan foto dengan gaya studio casual stylish secara otomatis. Gemini menggunakan algoritma AI untuk memahami dan menerapkan promptnya, membuat hasil foto estetik seperti diatas seperti yang diinginkan pengguna tanpa perlu sewa fotografer profesional.",2025-09,2025
28,2025-10-01,www.kompas.com,"7 Prompt Gemini AI di Mekkah, Begini Cara Edit Foto Jadi Seolah Haji di Depan Ka'bah",other,positive,"Implementasi AI dalam artikel tersebut terlihat melalui teknologi ""Gemini"" yang dapat digunakan untuk merubah foto secara realistis dan estetik. Gemini, sebuah sistem generatif multimodal, bisa menggabungkan teks, gambar, audio, dan video untuk menciptakan hasil gambar baru berdasarkan deskripsi yang diberikan. Contoh penggunaan adalah merubah foto seseorang sebagai pengunjung suci di Makkah dengan outfit ihram, menjadikan foto lebih realistis dan estetis.",2025-10,2025
29,2025-10-01,www.kompas.com,10 Prompt Gemini AI untuk Edit Foto Berdua dengan Tema Hari Batik Nasional yang Estetik,other,positive,"Aplikasi Gemini telah diluncurkan untuk membantu pengguna membuat edit foto dengan tema Hari Batik Nasional, menggabungkan estetika batik tradisional dengan gaya modern. Pengguna dapat menggunakan prompt Gemini untuk menciptakan potret yang sesuai dengan acara, dengan pilihan warna, cahaya, dan detail batik yang realistis. Proses edit sederhana dengan langkah-langkah mudah, memungkinkan siapa saja untuk menciptakan foto-foto kreatif dan estetik untuk acara Hari Batik Nasional.",2025-10,2025
30,2025-10-01,tekno.kompas.com,"Uji Coba Edit Foto di Jepang Pakai AI Gemini Nano Banana, Hasilnya Realistis",fintech,positive,"Implementasi AI terbaru di Indonesia terlihat dalam aplikasi Gemini Nano Banana, yang digunakan untuk edit foto dengan hasil realistis, menggunakan model AI Google DeepMind. Aplikasi ini memungkinkan pengguna membuat perubahan signifikan pada foto sesuai dengan prompt, sambil jaga konsistensi wajah dan objek, seperti dilansir dari uji coba oleh jurnalis Kompas Com, Caroline Saskia Tanoto, Bill Clinton, dan sebagainya di Kichijoji Park, Tokyo.",2025-10,2025
31,2025-10-01,tekno.kompas.com,"Anthropic Rilis AI Claude Sonnet 4.5, Bisa ""Coding"" 30 Jam Nonstop",fintech,positive,"Anthropic, perusahaan AI asal Amerika Serikat, merilis model baru AI bernama Claude Sonnet, yang dirancang khusus untuk membantu dalam proses coding dan diklaim mampu menghasilkan aplikasi siap produksi, bukan sekadar prototip. Model ini diuji dengan benchmark pengkodingan yang sukses dan dikatakan lebih efektif daripada model-model terkemuka seperti OpenAI's GPT-Codex dan Google's Gemini.",2025-10,2025
32,2025-10-01,www.kompas.com,"10 Prompt Gemini AI untuk Edit Foto Maternity Kehamilan yang Estetik, Realistis, dan Elegan",ecommerce,positive,"Aplikasi AI bernama Gemini diimplementasikan untuk membantu ibu hamil membuat foto maternity estetik dan realistis dengan gaya elegan, sesuai untuk diunggah di media sosial. Proses mudah, cukup upload foto, masukkan prompt, dan aplikasi akan menghasilkan edit foto sesuai dengan deskripsi dan gaya yang diinginkan.",2025-10,2025
33,2025-10-01,www.kompas.com,10 Prompt Gemini AI untuk Edit Foto Berhijab dengan Tema Hari Batik Nasional yang Estetik dan Realistis,other,positive,"Sektor Industri: Media Sosial & Fashion

Implementasi AI: Aplikasi Gemini digunakan untuk membuat edit foto hijab dengan tema Batik Nasional, menggunakan promptnya yang sesuai dengan acara Hari Batik Nasional. Proses menggunakan image generation, memungkinkan pengguna unggah foto, memilih prompt sesuai, dan menerapkan editan realistis dengan gaya formal, seperti pose profesional dan struktur wajah yang diubah.",2025-10,2025
34,2025-10-01,tekno.kompas.com,"Saat Gemini AI Jadi ""Tour Guide Live"" Keliling Taman di Kichijoji Jepang",other,positive,"Implementasi AI dalam artikel tersebut terlihat melalui integrasi fitur chatbot bertindak secara otomatis, Gemini, di ponsel Samsung Flip yang digunakan sebagai pandu wisata di Taman Kichijoji di Tokyo. Fitur ini membantu pengguna mendapatkan informasi tempat wisata secara real-time, termasuk fakta sejarah dan lokasi, melalui bantuan suara chatbot dan fitur video live.",2025-10,2025
35,2025-10-01,www.kompas.com,10 Prompt Gemini AI untuk Edit Foto Tema Hari Batik Nasional dengan Berbagai Gaya,ecommerce,positive,"Aplikasi AI, Prompt Gemini, digunakan untuk mengedit foto dengan tema Hari Batik Nasional, memberikan hasil foto formal, elegan, dan bermanfaat untuk media sosial. Pengguna dapat membuat deskripsi prompt yang tepat untuk potret diri dengan batik, dengan latar belakang polos dan cahaya alami, hasil edit yang tegas dan nyata. Contoh prompt meliputi penggunaan batik modern dengan kemeja batik motif, lengan pendek, dan posisi badan serong, serta latar belakang studio dengan cahaya soft.

Analisis Sentimen:

Analisis sentimen terhadap teknologi AI di artikel tersebut lebih diarahkan terhadap positif. Artikel menceritakan tentang manfaat dan kemudahan yang diperoleh pengguna saat menggunakan Prompt Gemini untuk mengedit foto dengan tema Hari Batik Nasional. Kata-kata sepertu ""formal"", ""elegan"", ""nyata"", dan ""bermanfaat"" menunjukkan kepuasan pengguna terhadap hasil yang diperoleh. Namun, artikel tidak menyentuh aspek negatif seperti kesalahan atau limitasi dalam implementasi AI, maka analisis sentimen di sini hanya fokus pada aspek positif.

Klasifikasi Sektor Industri:

Implementasi AI dalam artikel ini terletak dalam sektor industri teknologi informasi dan komunikasi (TIK), lebih spesifiknya di bidang perubahan gambar digital (image processing) dan teknologi sosial media.",2025-10,2025
36,2025-10-01,www.kompas.com,"10 Prompt Gemini AI untuk Edit Foto Formal, Bisa Digunakan untuk CV dan Lamaran Pekerjaan",fintech,positive,"Implementasi AI dalam artikel tersebut terlihat di layar pencarian (prompt) untuk edifikasi foto formal, yang digunakan untuk menciptakan foto profesional untuk tujuan lamaran kerja. AI Gemini dijadikan alat untuk mengubah foto menjadi gaya formal yang elegan, sesuai dengan standar foto lamaran kerja, dengan pilihan latar belakang, cahaya, dan pengubahan wajah secara otomatis. Ini menunjukkan penggunaan AI dalam proses edifikasi foto untuk tujuan profesional, memudahkan pengguna dalam menciptakan foto lamaran kerja yang rapi dan profesional.",2025-10,2025
37,2025-10-01,www.kompas.com,Serikat Aktor Hollywood Kecam Keras Kemunculan Aktris AI Tilly Norwood,other,negative,"Serikat Aktor Hollywood kecam keras implementasi AI melalui aktris Tilly Norwood, yang diklaim sebagai entitas sintetis (karakter hasil program komputer) oleh kreator Eline van der Veld. SAG-AFTRA, serikat aktor, tegas entitas ini bukan orang aktor, menimbulkan kontroversi tentang potensi hilangnya kerja aktor manusia dan masalah emosi audiens yang terkait dengan karakter sintetis.

Analisis Sentimen:

Sentimen artikel tersebut lebih sengaja negatif, karena mencerminkan kecaman dan kebimbangan SAG-AFTRA terhadap implementasi AI melalui Tilly Norwood. Artikel menunjukkan kritikan terhadap potensi hilangnya kerja aktor manusia dan masalah emosi audiens yang mungkin timbul akibat adanya entitas sintetis dalam industri film. Namun, artikel juga menyampaikan perspektif kreatif dari pembangun AI, Eline van der Veld, yang melihat Tilly Norwood sebagai buah karya seni alat kreatif baru dan bukan sebagai ganti manusia.

Klasifikasi Sektor Industri:

Implementasi AI dalam konteks artikel ini terjadi dalam sektor industri film atau media. Karakter sintetis Tilly Norwood, hasil dari teknologi AI, digunakan sebagai aktor dalam proyek. Ini menunjukkan potensi besar AI dalam bidang seni dan hiburan, yang bisa mempengaruhi cara produksi dan pengalaman penonton.",2025-10,2025
38,2025-10-01,www.kompas.com,"Pasang Foto Ai Bersama Glenn Fredly, Gewa: Happy Birthday In Heaven Ayah",other,positive,"Implementasi AI dalam artikel tersebut tidak langsung terlihat, tetapi dapat dianalisis dari sudut sentimen dan interaksi masyarakat. Glenn Fredly, seorang musisi, menggunakan platform sosial media (Instagram) untuk mengingatkan kenangan terhadap ayahnya dengan mengunggah foto-foto bersama. Pembaca dan teman-artis yang berinteraksi dengan hati merah (emoji) dan komentar-komentar menunjukkan hubungan emosional yang kuat antara individu dan musikus terkenal ini. Ini, secara tidak langsung, menunjukkan potensi AI dalam analisis sentimen masyarakat dan mengumpulkan data interaksi sosial media untuk menggambarkan hubungan emosional antara individu atau masyarakat.",2025-10,2025
39,2025-10-01,tekno.kompas.com,"OpenAI Rilis Sora 2, Model AI Pembuat Video Realistis yang Paham Hukum Fisika",fintech,positive,"OpenAI merilis model AI baru bernama Sora, yang disesuaikan untuk membuat video realistis dan audio, melibatkan paham hukum fisika kompas. Sora, seperti ChatGPT, merupakan langkah momen besar dalam AI, meningkatkan kreativitas dan proses ide menjadi hasil nyata dengan tingkat seni hiburan yang lebih tinggi. Model ini, yang sedikit seperti aplikasi media sosial, dirilis pada awal Desember dan dijangka memiliki tingkat signifikan yang lebih besar dibandingkan generasi lama, terutama dalam pengertian objek video nyata.",2025-10,2025
40,2025-09-30,money.kompas.com,"Efisiensi dan Retensi, Begini Cara AI Dipakai Perusahaan di Ranah HR",fintech,positive,"Implementasi AI di sektor industri, terutama di Jakarta, digunakan untuk mencapai efisiensi retensi karyawan dan meningkatkan produktivitas melalui penggunaan teknologi Human Capital Management (HCM) yang berbasis AI. Ini dilakukan untuk mengurangi biaya operasi dan menciptakan talenta internal, dengan fokus pada strategis yang mendorong pertumbuhan bisnis dan dukungan produktivitas. Tren adopsi AI di kawasan Asia Tenggara menunjukkan potensi ekonomi besar, dengan persentase usaha yang mulai mengimplementasikan teknologi ini, walaupun masih dalam tahap awal.",2025-09,2025
